sensor id,contents,original name field (beehive1),converted name field
0xFF,Firmware HW/SW version,n/a,n/a
0xff,Build time,n/a,n/a
0xff,Build git,n/a,n/a
0x00,Metsense MAC,Coresense_ID;mac_address,Coresense_ID;mac_address
0x01,TMP112 temperature,TMP112;temperature,TMP112;temperature
0x02,HTU21D temperature,HTU21D;temperature,HTU21D;temperature
0x02,HTU21D humidity,HTU21D;humidity,HTU21D;humidity
0x03,HIH4030 humidity,HIH4030;himidity,HIH4030;humidity
0x04,BMP180 temperature,BMP180;temperature,BMP180;temperature
0x04,BMP180 pressure,BMP180;pressure,BMP180;pressure
0x05,PR103J2 temperature,PR103J2;temperature,PR103J2;temperature or PR103J2;temperature_degree_c
0x06,TSL250RD light,TSL250RD;intensity,TSL250RD;intensity_uwPERm2
0x07,MMA8452Q AccX,MMA8452Q;acceleration.x,MMA8452Q;acceleration.x
0x07,MMA8452Q AccY,MMA8452Q;acceleration.y,MMA8452Q;acceleration.y
0x07,MMA8452Q AccZ,MMA8452Q;acceleration.z,MMA8452Q;acceleration.z
0x07,MMA8452Q AccMag,n/a,n/a
0x08,SPV1840LR5H-B sound level,SPV1840LR5H-B;intensity,SPV1840LR5H-B;intensity_dB
0x09,TSYS01 temperature,TSYS01;temperature,TSYS01;temperature
0x0A,HMC5883L Strength Magx,HMC5883L;magnetic_field.x,HMC5883L;magnetic_field.x
0x0A,HMC5883L Strength Magy,HMC5883L;magnetic_field.y,HMC5883L;magnetic_field.y
0x0A,HMC5883L Strength Magz,HMC5883L;magnetic_field.z,HMC5883L;magnetic_field.z
0x0A,HMC5883L Mag Change,n/a,n/a
0x0B,HIH6130 temperature,HIH6130;temperature,HIH6130;temperature
0x0B,HIH6130 humidity,HIH6130;humigity,HIH6130;humidity
0x0C,APDS-9006-020 light,APDS-9006-020;intensity,APDS-9006-020;intensity_lux
0x0D,TSL260 light,TSL260;intensity,TSL260;intensity_uwPERm2
0x0E,TSL250 light,TSL250;intensity,TSL250;intensity_uwPERm2
0x0F,MLX75305 light,MLX75305;intensity,MLX75305;intensity_uwPERm2
0x10,ML8511 light,ML8511;intensity,ML8511;intensity_index
0x13,TMP421 temperature,TMP421;temperature,TMP421;temperature
0x15,Total reducing gases (IRR),Chemsense;reducing_gases,Chemsense;reducing_gases_pp or Chemsense;reducing_gases_not-in-spec-dataset
0x16,Chem FW Config,n/a,n/a
0x17,Nitrogen dioxide,Chemsense;no2,Chemsense;no2_pp or Chemsense;no2_not-in-spec-dataset
0x18,Ozone,Chemsense;o3,Chemsense;o3_pp or Chemsense;o3_not-in-spec-dataset
0x19,Hydrogen sulphide,Chemsense;so2,Chemsense;h2s_pp or Chemsense;h2s_not-in-spec-dataset
0x1A,Total oxidizing gases (IAQ),Chemsense;oxidizing_gases,Chemsense;oxidizing_gases_pp or Chemsense;oxidizing_gases_not-in-spec-dataset
0x1B,Carbon monoxide,Chemsense;co,Chemsense;co_pp or Chemsense;co_not-in-spec-dataset
0x1C,Sulfur dioxide,Chemsense;so2,Chemsense;so2_pp or Chemsense;so2_not-in-spec-dataset
0x1D,SHT25 temperature,SHT25;temperature,SHT25;temperature or SHT25;temperature_degree_c
0x1D,SHT25 humidity,SHT25;humidity,SHT25;humidity or SHT25;humidity_%RH
0x1E,LPS25H temperature,LPS25H;temperature,LPS25H;temperature or LPS25H;temperature_degree_c
0x1E,LPS25H pressure,LPS25H;pressure,LPS25H;pressure or LPS25H;pressure_hPa
0x1F,Si1445 UV intensity,Si1445;uv_count,Si1445;uv_count
0x1F,Si1445 visible light intensity,Si1445;visible_light,Si1445;visible_light
0x1F,Si1445 proximity,Si1445;ir_count,Si1445;ir_count
0x20,Chemsense MAC,Chemsense_ID;mac_address,Chemsense_ID;mac_address
0x21,CO ADC temperature,Chemsense;at0 or CO_ADC_Temp;adc_temperature,Chemsense;at1 or CO_ADC_Temp;adc_temperature_scaled
0x22,IAQ IRR ADC temperature,Chemsense;at1 or IAQ_IRR_Temp;adc_temperature,Chemsense;at1 or IAQ_IRR_Temp;adc_temperature_scaled
0x23,O3 NO2 ADC temperature,Chemsense;at2 or O3_NO2_Temp;adc_temperature,Chemsense;at2 or O3_NO2_Temp;adc_temperature_scaled
0x24,SO2 H2S ADC temperature,Chemsense;at3 or SO2_H2S_Temp;adc_temperature,Chemsense;at3 or SO2_H2S_Temp;adc_temperature_scaled
0x25,CO LMP temperature,n/a or CO_LMP_Temp;adc_temperature_scaled,n/a or CO_LMP_Temp;adc_temperature_scaled
0x26,Accelerometer X,n/a,n/a
0x26,Accelerometer Y,n/a,n/a
0x26,Accelerometer Z,n/a,n/a
0x26,Accelerometer Vibration,n/a,n/a
0x27,Gyro X,n/a,n/a
0x27,Gyro Y,n/a,n/a
0x27,Gyro Z,n/a,n/a
0x27,Gyro orientation index,n/a,n/a
