sensor id,contents,raw unit,processed unit
0xFF,Firmware HW/SW version,no unit,no unit
0xff,Build time,no unit,no unit
0xff,Build git,no unit,no unit
0x00,Metsense MAC,no unit,no unit
0x01,TMP112 temperature,raw bytes,degree C
0x02,HTU21D temperature,raw bytes,degree C
0x02,HTU21D humidity,raw bytes,%RH
0x03,HIH4030 humidity,raw bytes,%RH
0x04,BMP180 temperature,raw bytes,degree C
0x04,BMP180 pressure,raw bytes,hPa
0x05,PR103J2 temperature,raw bytes,degree C
0x06,TSL250RD light,raw bytes,uw/m2
0x07,MMA8452Q AccX,raw bytes,g
0x07,MMA8452Q AccY,raw bytes,g
0x07,MMA8452Q AccZ,raw bytes,g
0x07,MMA8452Q AccMag,raw bytes,g
0x08,SPV1840LR5H-B sound level,raw bytes,dBm
0x09,TSYS01 temperature,raw bytes,degree C
0x0A,HMC5883L Strength Magx,raw bytes,G
0x0A,HMC5883L Strength Magy,raw bytes,G
0x0A,HMC5883L Strength Magz,raw bytes,G
0x0A,HMC5883L Mag Change,raw bytes,G
0x0B,HIH6130 temperature,raw bytes,degree C
0x0B,HIH6130 humidity,raw bytes,%RH
0x0C,APDS-9006-020 light,raw bytes,lux
0x0D,TSL260 light,raw bytes,uw/m2
0x0E,TSL250 light,raw bytes,uw/m2
0x0F,MLX75305 light,raw bytes,uw/m2
0x10,ML8511 light,raw bytes,index
0x13,TMP421 temperature,raw bytes,degree C
0x15,Total reducing gases (IRR),raw bytes,ppm
0x16,Chem FW Config,no unit,no unit
0x17,Nitrogen dioxide,raw bytes,ppm
0x18,Ozone,raw bytes,ppm
0x19,Hydrogen sulphide,raw bytes,ppm
0x1A,Total oxidizing gases (IAQ),raw bytes,ppm
0x1B,Carbon monoxide,raw bytes,ppm
0x1C,Sulfur dioxide,raw bytes,ppm
0x1D,SHT25 temperature,raw bytes,degree C
0x1D,SHT25 humidity,raw bytes,%RH
0x1E,LPS25H temperature,raw bytes,degree C
0x1E,LPS25H pressure,raw bytes,hPa
0x1F,Si1445 UV intensity,no unit,no unit
0x1F,Si1445 visible light intensity,no unit,no unit
0x1F,Si1445 proximity,no unit,no unit
0x20,Chemsense MAC,no unit,no unit
0x21,CO ADC temperature,raw bytes,degree C
0x22,IAQ IRR ADC temperature,raw bytes,degree C
0x23,O3 NO2 ADC temperature,raw bytes,degree C
0x24,SO2 H2S ADC temperature,raw bytes,degree C
0x25,CO LMP temperature,raw bytes,degree C
0x26,Accelerometer X,no unit,no unit
0x26,Accelerometer Y,no unit,no unit
0x26,Accelerometer Z,no unit,no unit
0x26,Accelerometer Vibration,no unit,no unit
0x27,Gyro X,no unit,no unit
0x27,Gyro Y,no unit,no unit
0x27,Gyro Z,no unit,no unit
0x27,Gyro orientation index,no unit,no unit
0x28,Histogram bin count,no unit,no unit
0x28,Histogram average time,raw bytes,us
0x28,Histogram sample flow rate,raw bytes,ml/s
0x28,Histogram temp / pressure (alter),raw bytes,degree C/hPa (alter)
0x28,Histogram sampling period,raw bytes,s
0x28,Histogram sum of the count,raw bytes,no unit
0x28,Histogram PM 1,no unit,ug/m3
0x28,Histogram PM 2.5,no unit,ug/m3
0x28,Histogram PM 10,no unit,ug/m3
0x29,Serial,no unit,no unit
0x2A,All Chemsense data,depends,depends
0x2B,Alpha status,no unit,no unit
0x30,Firmware,no unit,no unit
0x31,Configuration bin boundaries,no unit,no unit
0x31,Configuration bin particle volumes,no unit,no unit
0x31,Configuration bin particle dencities,no unit,no unit
0x31,Configuration bin sample volume weightings B,no unit,no unit
0x31,Configuration gain scaling coeifficient,no unit,no unit
0x31,Configuration sampling flow rate,no unit,no unit
0x31,Configuration laser DAC,no unit,no unit
0x31,Configuration fan DAC,no unit,no unit
0x31,Configuration conversion factor,no unit,no unit
0x31,Configuration spare bytes,no unit,no unit
0x2C,Rain gauge,no unit,inch
0x2D,Soil moisture volumetric Water Content,raw bytes,no unit
0x2D,Soil moisture electric conductivity,raw bytes,dS/m
0x2D,Soil moisture temperature,raw bytes,degree C
0x2E,Water Level (Red),no unit,no unit
0x2F,Water Level (Black),no unit,no unit
0x35,PMS3003,no unit,no unit
0x36,PMS7003,no unit,no unit
0x37,YL-69,no unit,no unit
0x38,YHDC SCT-013-030,no unit,no unit
0x39,CR3110-3000,no unit,no unit
0x11,Bus reading,depends,depends
0x12,List of disabled sensors,no unit,no unit
