sensor id,contents,original name field (beehive1),unit (beehive1),converted name field, unit (converted)
0xFF,Firmware HW/SW version,n/a,n/a,n/a,n/a
0xff,Build time,n/a,n/a,n/a,n/a
0xff,Build git,n/a,n/a,n/a,n/a
0x00,Metsense MAC,Coresense_ID;mac_address,n/a,Coresense_ID;mac_address,n/a
0x01,TMP112 temperature,TMP112;temperature,degree_c,TMP112;temperature,degree_c
0x02,HTU21D temperature,HTU21D;temperature,degree_c,HTU21D;temperature,degree_c
0x02,HTU21D humidity,HTU21D;humidity,%RH,HTU21D;humidity,%RH
0x03,HIH4030 humidity,HIH4030;himidity,%RH,HIH4030;humidity,%RH
0x04,BMP180 temperature,BMP180;temperature,degree_c,BMP180;temperature,degree_c
0x04,BMP180 pressure,BMP180;pressure,hPa,BMP180;pressure_hPa,hPa
0x05,PR103J2 temperature,PR103J2;temperature,register,PR103J2;temperature_degree_c,degree_c
0x06,TSL250RD light,TSL250RD-AS;intensity,voltage,TSL250RD-AS;intensity_uwPERcm2,uW/cm2
0x07,MMA8452Q AccX,MMA8452Q;acceleration.x,count,MMA8452Q;acceleration.x,g
0x07,MMA8452Q AccY,MMA8452Q;acceleration.y,count,MMA8452Q;acceleration.y,g
0x07,MMA8452Q AccZ,MMA8452Q;acceleration.z,count,MMA8452Q;acceleration.z,g
0x07,MMA8452Q AccMag,n/a,n/a,n/a,n/a
0x08,SPV1840LR5H-B sound level,SPV1840LR5H-B;intensity,voltage,SPV1840LR5H-B;intensity_db,dBm
0x09,TSYS01 temperature,TSYS01;temperature,degree_c,TSYS01;temperature,degree_c
0x0A,HMC5883L Strength Magx,HMC5883L;magnetic_field.x,register,HMC5883L;magnetic_field.x,G
0x0A,HMC5883L Strength Magy,HMC5883L;magnetic_field.y,register,HMC5883L;magnetic_field.y,G
0x0A,HMC5883L Strength Magz,HMC5883L;magnetic_field.z,register,HMC5883L;magnetic_field.z,G
0x0A,HMC5883L Mag Change,n/a,n/a,n/a,n/a
0x0B,HIH6130 temperature,HIH6130;temperature,degree_c,HIH6130;temperature,degree_c
0x0B,HIH6130 humidity,HIH6130;humidity,%RH,HIH6130;humidity,%RH
0x0C,APDS-9006-020 light,APDS-9006-020;intensity,register,APDS-9006-020;intensity_lux,lux
0x0D,TSL260 light,TSL260;intensity,register,TSL260;intensity_uwPERcm2,uW/cm2
0x0E,TSL250 light,TSL250-LS;intensity,register,TSL250-LS;intensity_uwPERcm2,uW/cm2
0x0F,MLX75305 light,MLX75305;intensity,register,MLX75305;intensity_uwPERcm2,uW/cm2
0x10,ML8511 light,ML8511;intensity,register,ML8511;intensity_mwPERcm2,mW/cm2
0x13,TMP421 temperature,TMP421;temperature,degree_c,TMP421;temperature,degree_c
0x15,Total reducing gases (IRR),Chemsense;reducing_gases,ampare,Chemsense;reducing_gases_pp,ppm
0x16,Chem FW Config,n/a,n/a,n/a,n/a
0x17,Nitrogen dioxide,Chemsense;no2,ampare,Chemsense;no2_pp,ppm
0x18,Ozone,Chemsense;o3,ampare,Chemsense;o3_pp,ppm
0x19,Hydrogen sulphide,Chemsense;so2,ampare,Chemsense;h2s_pp,ppm
0x1A,Total oxidizing gases (IAQ),Chemsense;oxidizing_gases,ampare,Chemsense;oxidizing_gases_pp,ppm
0x1B,Carbon monoxide,Chemsense;co,ampare,Chemsense;co_pp,ppm
0x1C,Sulfur dioxide,Chemsense;so2,ampare,Chemsense;so2_pp,ppm
0x1D,SHT25 temperature,SHT25;temperature,degree_c or 100th_of_degree_c,SHT25;temperature_degree_c,degree_c
0x1D,SHT25 humidity,SHT25;humidity,%RH or 100th_of_%RH,SHT25;humidity_%RH,%RH
0x1E,LPS25H temperature,LPS25H;temperature,degree_c or 100th_of_degree_c,LPS25H;temperature_degree_c,degree_c
0x1E,LPS25H pressure,LPS25H;pressure,hPa or 100th_of_hPa,LPS25H;pressure_hPa,hPa
0x1F,Si1445 UV intensity,Si1445;uv_count,count,Si1445;uv_count,count
0x1F,Si1445 visible light intensity,Si1445;visible_light,count,Si1445;visible_light,count
0x1F,Si1445 proximity,Si1445;ir_count,count,Si1445;ir_count,count
0x20,Chemsense MAC,Chemsense_ID;mac_address,n/a,Chemsense_ID;mac_address,n/a
0x21,CO ADC temperature,Chemsense;at0,degree_c,Chemsense;at0,degree_c
0x21,CO ADC temperature,CO_ADC_Temp;adc_temperature,100th_of_degree_c,CO_ADC_Temp;adc_temperature_degree_c,degree_c
0x22,IAQ IRR ADC temperature,Chemsense;at1,degree_c,Chemsense;at1,degree_c
0x22,IAQ IRR ADC temperature,IAQ_IRR_Temp;adc_temperature,100th_of_degree_c,IAQ_IRR_Temp;adc_temperature_degree_c,degree_c
0x23,O3 NO2 ADC temperature,Chemsense;at2,degree_c,Chemsense;at2,degree_c
0x23,O3 NO2 ADC temperature,O3_NO2_Temp;adc_temperature,100th_of_degree_c,O3_NO2_Temp;adc_temperature_degree_c,degree_c
0x24,SO2 H2S ADC temperature,Chemsense;at3,degree_c,Chemsense;at3,degree_c
0x24,SO2 H2S ADC temperature,SO2_H2S_Temp;adc_temperature,100th_of_degree_c,SO2_H2S_Temp;adc_temperature_degree_c,degree_c
0x25,CO LMP temperature,CO_LMP_Temp;adc_temperature,100th_of_degree_c,CO_LMP_Temp;adc_temperature_degree_c,degree_c
0x26,Accelerometer X,BMI160;acceleration.x,register,BMI160;acceleration.x,register
0x26,Accelerometer Y,BMI160;acceleration.y,register,BMI160;acceleration.y,register
0x26,Accelerometer Z,BMI160;acceleration.z,register,BMI160;acceleration.z,register
0x26,Accelerometer Vibration,n/a,n/a,n/a,n/a
0x27,Gyro X,BMI160;orientation.x,register,BMI160;orientation.x,register
0x27,Gyro Y,BMI160;orientation.y,register,BMI160;orientation.y,register
0x27,Gyro Z,BMI160;orientation.z,register,BMI160;orientation.z,register
0x27,Gyro orientation index,BMI160;index,register,BMI160;index,register
0x28,Histogram bin count,Alphasense;bins,n/a,Alphasense;bins,n/a
0x28,Histogram average time,n/a,n/a,n/a,n/a
0x28,Histogram sample flow rate,Alphasense;sample_flow_rate,count,Alphasense;sample_flow_rate,us
