sensor id,sensor name,parameter name,description,type,uint,data type (float = binary32),max,min,resolution,accuracy
0xFF,Coresense info,Firmware HW/SW version,pre-determined,raw,n/a,int16,fixed_value,fixed_value,fixed_value,fixed_value
0xFF,Coresense info,Build time,pre-determined,raw,n/a,int32,fixed_value,fixed_value,fixed_value,fixed_value
0xFF,Coresense info,Build git,pre-determined,raw,n/a,int16,fixed_value,fixed_value,fixed_value,fixed_value
0xFF,Coresense info,Firmware HW version,pre-determined,raw,n/a,float,fixed_value,fixed_value,fixed_value,fixed_value
0xFF,Coresense info,Firmware SW version,pre-determined,hrf,n/a,float,fixed_value,fixed_value,fixed_value,fixed_value
0xFF,Coresense info,Build time,pre-determined,hrf,n/a,epoch,fixed_value,fixed_value,fixed_value,fixed_value
0xFF,Coresense info,Build git,pre-determined,hrf,n/a,hex*2,fixed_value,fixed_value,fixed_value,fixed_value
0x00,Metsense MAC,Mac address,pre-determined,raw,n/a,char*6,fixed_value,fixed_value,fixed_value,fixed_value
0x00,Metsense MAC,Mac address,pre-determined,hrf,n/a,hex*6,fixed_value,fixed_value,fixed_value,fixed_value
0x01,TMP112,temperature,register,raw,counts,int16,65535,0,1,1
0x01,TMP112,temperature,converted,hrf,degree_c,float,125,-40,1,1
0x02,HTU21D,temperature,register,raw,counts,int24,16777216,0,1,1
0x02,HTU21D,humidity,register,raw,counts,int24,16777216,0,1,1
0x02,HTU21D,temperature,converted,hrf,degree_c,float,125,-40,0.01,0.3
0x02,HTU21D,humidity,converted,hrf,%RH,float,100,0,0.04,2
0x03,HIH4030,humidity,voltage,raw,counts,int16,1023,0,1,1
0x03,HIH4030,humidity,converted,hrf,%RH,float,100,0,0.5,3.5
0x04,BMP180,temperature,register,raw,counts,int16,65535,0,1,1
0x04,BMP180,pressure,register,raw,counts,int16,65535,0,1,1
0x04,BMP180,temperature,converted,hrf,degree_c,float,85,-40,0.01,2
0x04,BMP180,pressure,converted,hrf,hPa,float,10000,0,0.1,0.5
0x05,PR103J2,temperature,voltage,raw,counts,int24,1023,0,1,1
0x05,PR103J2,temperature,converted,hrf,degree_c,float,80,-55,0.01,0.05
0x06,TSL250RD,visible light,voltage,raw,counts,int16,1023,0,1,1
0x06,TSL250RD,visible light,converted,hrf,uw/cm2,float,210,0.2,2,7.5
0x07,MMA8452Q,acceleration,register,raw,counts,int16,65535,0,1,1
0x07,MMA8452Q,acceleration,register,raw,counts,int16,65535,0,1,1
0x07,MMA8452Q,acceleration,register,raw,counts,int16,65535,0,1,1
0x07,MMA8452Q,acceleration,converted,hrf,gx,float,8,-8,0.008,0.02
0x07,MMA8452Q,acceleration,converted,hrf,gy,float,8,-8,0.008,0.02
0x07,MMA8452Q,acceleration,converted,hrf,gz,float,13.9,0,0.014,0.035
0x08,SPV1840LR5H-B,sound level,voltage,raw,counts,int16*63,1023,0,1,1
0x08,SPV1840LR5H-B,sound level,converted,hrf,dBm,float,121,54,2,8
0x09,TSYS01,temperature,register,raw,counts,int24,16777216,0,1,1
0x09,TSYS01,temperature,converted,hrf,degree_c,float,125,-40,0.01,0.5
0x0A,HMC5883L,magnetic field,register,raw,counts,int16,65535,0,1,1
0x0A,HMC5883L,magnetic field,register,raw,counts,int16,65535,0,1,1
0x0A,HMC5883L,magnetic field,register,raw,counts,int16,65535,0,1,1
0x0A,HMC5883L,magnetic field,converted,hrf,Gx,float,8,-8,0.002,0.435
0x0A,HMC5883L,magnetic field,converted,hrf,Gy,float,8,-8,0.002,0.435
0x0A,HMC5883L,magnetic field,converted,hrf,Gz,float,8,-8,0.002,0.435
0x0B,HIH6130,temperature,register,raw,counts,int16,65535,0,1,1
0x0B,HIH6130,humidity,register,raw,counts,int16,65535,0,1,1
0x0B,HIH6130,temperature,converted,hrf,degree_c,float,85,-25,0.025,1
0x0B,HIH6130,humidity,converted,hrf,%RH,float,100,0,0.04,4
0x0C,APDS-9006-020,ambient light,voltage,raw,counts,int24,16777216,0,1,1
0x0C,APDS-9006-020,ambient light,converted,hrf,lux,float,1000,0,0.008,1
0x0D,TSL260,light,voltage,raw,counts,int24,16777216,0,1,1
0x0D,TSL260,light,converted,hrf,uw/cm2,float,61,0.2,0.1,4
0x0E,TSL250,light,voltage,raw,counts,int24,16777216,0,1,1
0x0E,TSL250,light,converted,hrf,uw/cm2,float,210,0.2,0.1,4
0x0F,MLX75305,ambient light,voltage,raw,counts,int24,16777216,0,1,1
0x0F,MLX75305,ambient light,converted,hrf,uw/cm2,float,60,0,0.86,0.86
0x10,ML8511,uv,voltage,raw,counts,int24,16777216,0,1,1
0x10,ML8511,uv,converted,hrf,mw/cm2,float,15,0,1,1
0x13,TMP421,temperature,register,raw,counts,int16,65535,0,1,1
0x13,TMP421,temperature,converted,hrf,degree_c,float,127,-55,0.25,2.5
0x15,IRR,gas,ampare,raw,pA,int24,16777216,0,1,1
0x15,IRR,gas,converted,hrf,ppm,float,20,0,0.5,0.5
0x16,Chem Config,configuration,pre-determined,raw,n/a,char*1514,fixed_value,fixed_value,fixed_value,fixed_value
0x16,Chem Config,configuration,pre-determined,hrf,n/a,hex*1514,fixed_value,fixed_value,fixed_value,fixed_value
0x17,NO2,gas,ampare,raw,pA,int24,16777216,0,1,1
0x17,NO2,gas,converted,hrf,ppm,float,20,0,0.5,0.5
0x18,O3   ,gas,ampare,raw,pA,int24,16777216,0,1,1
0x18,O3   ,gas,converted,hrf,ppm,float,20,0,0.32,0.32
0x19,H2S,gas,ampare,raw,pA,int24,16777216,0,1,1
0x19,H2S,gas,converted,hrf,ppm,float,50,0,2.5,2.5
0x1A,IAQ  ,gas,ampare,raw,pA,int24,16777216,0,1,1
0x1A,IAQ  ,gas,converted,hrf,ppm,float,100,0,0.12,0.12
0x1B,CO,gas,ampare,raw,pA,int24,16777216,0,1,1
